time_sec,w_000,w_001,w_002,w_003,w_004,w_005,w_006,w_007,w_008,w_009,w_sum
2.4833333,0.00012695458,0.031353746,0.48145607,0.45967457,0.027287941,0.000100720434,2.3114865e-08,3.2983108e-13,2.9262982e-19,1.6142507e-26,1.0
2.5,0.00011312392,0.029261826,0.470625,0.470625,0.029261826,0.00011312392,2.719157e-08,4.063882e-13,3.7763719e-19,2.1818816e-26,0.99999994
2.5166667,0.00010072043,0.02728794,0.4596745,0.48145604,0.031353742,0.00012695456,3.196206e-08,5.0031734e-13,4.869488e-19,2.946799e-26,0.9999999
2.5333333,8.960617e-05,0.02542712,0.44862455,0.49214756,0.033568684,0.00014236374,3.7539802e-08,6.154747e-13,6.2741686e-19,3.976727e-26,0.99999994
2.55,7.965547e-05,0.023674492,0.43749475,0.5026798,0.035911746,0.00015951761,4.4056108e-08,7.565413e-13,8.0776213e-19,5.3624564e-26,1.0
2.5666666,7.075382e-05,0.0220253,0.4263047,0.51303256,0.038388077,0.00017859715,5.166283e-08,9.292007e-13,1.039123e-18,7.225197e-26,1.0
2.5833333,6.27975e-05,0.020474847,0.41507363,0.5231861,0.04100282,0.00019980106,6.053537e-08,1.1403671e-12,1.3356992e-18,9.7274075e-26,1.0
2.6,5.5692075e-05,0.019018551,0.40382043,0.5331207,0.043761197,0.00022334671,7.087553e-08,1.3984277e-12,1.7155716e-18,1.3086033e-25,1.0
2.6166666,4.9351773e-05,0.01765197,0.3925636,0.54281706,0.04666847,0.00024947088,8.2916884e-08,1.7135409e-12,2.2017683e-18,1.7590295e-25,1.0
2.6333334,4.3698925e-05,0.016370703,0.38132098,0.5522562,0.04972985,0.0002784326,9.692807e-08,2.097994e-12,2.8234849e-18,2.3626318e-25,0.99999994
2.65,3.8663296e-05,0.015170561,0.37011036,0.5614193,0.05295049,0.00031051264,1.1321786e-07,2.5667138e-12,3.6179792e-18,3.1708866e-25,0.99999994
